Year,Type,Country,Area,Activity,Fatal,Species ,,
2020,Unprovoked,USA,Maui,Stand-Up Paddle boarding,N,Tiger shark,,
2020,Provoked,BAHAMAS,Exumas,Floating,N,,,
2020,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,"""A small shark""",,
2020,Unprovoked,NEW ZEALAND,Southland,Surfing,N,Broadnose seven gill shark?,,
2020,Unprovoked,USA,North Carolina,Surfing,N,,,
2020,Unprovoked,THAILAND,Phang Nga Province,Swimming,N,,,
2020,Unprovoked,AUSTRALIA,Queensland,Swimming,N,Lemon shark,,
2020,Unprovoked,AUSTRALIA,Western Australia,Scuba diving,Y,White shark,,
2020,Unprovoked,NEW CALEDONIA,,,N,,,
2020,Questionable,AUSTRALIA,Western Australia,Swimming after being swept off rocks,Y,,,
2019,Unprovoked,AUSTRALIA,Queensland,Swimming,N,"Shovelnose ""shark"" which is a ray, not a shark)",,
2019,Unprovoked,SEYCHELLES,Praslin,Swimming,N,,,
2019,Unprovoked,PAPUA NEW GUINEA,Central Province,Spearfishing,Y,,,
2019,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surf skiing,N,,,
2019,Unprovoked,NEW ZEALAND,Southland,Boogie boarding,N,,,
2019,Unprovoked,USA,California,Surfing,N,,,
2019,Provoked,AUSTRALIA,New South Wales,Fishing,,White shark,,
2019,Questionable,REUNION ISLAND,,Kayaking,F,3.4 m tiger shark,,
2019,Unprovoked,AUSTRALIA,Western Australia,Free diving,N,,,
2019,Unprovoked,USA,Hawaii,Stand-Up Paddleboarding,N,10'-12' tiger shark,,
2019,Unprovoked,USA,Florida,Surfing,N,Juvenile blacktip shark,,
2019,Unprovoked,AUSTRALIA,Queensland,Snorkeling,N,,,
2019,Questionable,AUSTRALIA,Queensland,Spearfishing,F,,,
2019,Provoked,MEXICO,Guerrero,Fishing,N,,,
2019,Unprovoked,ISRAEL,,Snorkeling,N,,,
2019,Provoked,FRENCH POLYNESIA,Moorea,Feeding sharks,N,5' blacktip shark,,
2019,Unprovoked,USA,Florida,Surfing,N,4' to 5' blacktip shark,,
2019,Unprovoked,MEXICO,Baja,Diving,N,,,
2019,Watercraft,SOUTH AFRICA,Eastern Cape Province,Kayaking fishing,N,"White shark, 4 m",,
2019,Questionable,REUNION ISLAND,Saint-Gilles,Snorkeling,Y,10' tiger shark,,
2019,Unprovoked,AUSTRALIA,Queensland,Snorkeling,N,Tiger shark,,
2019,Provoked,USA,Florida,Surfing,N,4' to 5' shark,,
