Id,Year,Type,Country,Area,Activity,Fatal,Species
1,2020,Unprovoked,USA,Maui,Stand-Up Paddle boarding,N,Tiger shark
2,2020,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,"""A small shark"""
3,2020,Unprovoked,NEW ZEALAND,Southland,Surfing,N,Broadnose seven gill shark?
4,2020,Unprovoked,AUSTRALIA,Queensland,Swimming,N,Lemon shark
5,2020,Unprovoked,AUSTRALIA,Western Australia,Scuba diving,Y,White shark
6,2019,Unprovoked,AUSTRALIA,Queensland,Swimming,N,"Shovelnose ""shark"" which is a ray, not a shark)"
7,2019,Provoked,AUSTRALIA,New South Wales,Fishing,Y,White shark
8,2019,Provoked,REUNION ISLAND,Cilaos,Kayaking,Y,3.4 m tiger shark
9,2019,Unprovoked,USA,Hawaii,Stand-Up Paddleboarding,N,10'-12' tiger shark
10,2019,Unprovoked,USA,Florida,Surfing,N,Juvenile blacktip shark
11,2019,Provoked,FRENCH POLYNESIA,Moorea,Feeding sharks,N,5' blacktip shark
12,2019,Unprovoked,USA,Florida,Surfing,N,4' to 5' blacktip shark
13,2019,Watercraft,SOUTH AFRICA,Eastern Cape Province,Kayaking fishing,N,"White shark, 4 m"
14,2019,Unprovoked,REUNION ISLAND,Saint-Gilles,Snorkeling,Y,10' tiger shark
15,2019,Unprovoked,AUSTRALIA,Queensland,Snorkeling,N,Tiger shark
16,2019,Provoked,USA,Florida,Surfing,N,4' to 5' shark
17,2019,Unprovoked,FRENCH POLYNESIA,Moorea,Snorkeling,Y,Oceanic whitetip shark
18,2019,Unprovoked,AUSTRALIA,Queensland,Surfing,N,7' shark
19,2019,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,"White shark, 3.5 m"
20,2019,Unprovoked,USA,Guam,Surfing,N,Juvenile shark
21,2019,Provoked,AUSTRALIA,Northern Territory,Fishing,N,1+ m shark
22,2019,Unprovoked,USA,Hawaii,Surfing,N,6' to 7' shark
23,2019,Unprovoked,USA,Florida,Surfing,N,2' shark
